,epoch,validation_error,st_worker_timestamp,st_worker_time,st_worker_iter,st_decision,st_status,trial_id,config_learning_rate,config_num_hiddens,config_num_layers,config_dropout,config_weight_decay,st_tuner_time
68,7,0.0783911570906639,1770649922.508727,1822.0182320490003,6,CONTINUE,InProgress,17,0.0001403875267044,256,4,0.394115341702365,0.0003299273042508,6336.909528845
69,8,0.0733478367328643,1770650178.608692,2078.118197035,7,CONTINUE,InProgress,17,0.0001403875267044,256,4,0.394115341702365,0.0003299273042508,6592.203513689
70,9,0.1322150975465774,1770650433.9566336,2333.4661388130007,8,STOP,InProgress,17,0.0001403875267044,256,4,0.394115341702365,0.0003299273042508,6847.444471365
71,1,0.0688975602388382,1770650593.0855424,150.60094990800008,0,CONTINUE,InProgress,18,0.0002038963060285,256,2,0.172185291298581,2.3356106491632984e-05,7007.633016503
72,2,0.056644782423973,1770650727.835889,285.35129650899944,1,CONTINUE,InProgress,18,0.0002038963060285,256,2,0.172185291298581,2.3356106491632984e-05,7142.75270125
73,3,0.0542664192616939,1770650862.2576773,419.7730841769999,2,CONTINUE,InProgress,18,0.0002038963060285,256,2,0.172185291298581,2.3356106491632984e-05,7277.881115602
74,4,0.0434157662093639,1770650995.81432,553.3297270969997,3,CONTINUE,InProgress,18,0.0002038963060285,256,2,0.172185291298581,2.3356106491632984e-05,7408.100403994
75,5,0.0438551045954227,1770651128.9271328,686.4425398519998,4,CONTINUE,InProgress,18,0.0002038963060285,256,2,0.172185291298581,2.3356106491632984e-05,7543.266899293
76,6,0.042170763015747,1770651263.1726303,820.688037764,5,CONTINUE,InProgress,18,0.0002038963060285,256,2,0.172185291298581,2.3356106491632984e-05,7678.41054774
77,7,0.0422122962772846,1770651397.0047982,954.52020549,6,CONTINUE,InProgress,18,0.0002038963060285,256,2,0.172185291298581,2.3356106491632984e-05,7813.575388314
78,8,0.046252567321062,1770651531.4068146,1088.9222221519994,7,CONTINUE,InProgress,18,0.0002038963060285,256,2,0.172185291298581,2.3356106491632984e-05,7943.696562917
79,9,0.0426979511976242,1770651665.1990943,1222.7145019210002,8,CONTINUE,InProgress,18,0.0002038963060285,256,2,0.172185291298581,2.3356106491632984e-05,8078.870479132999
80,10,0.0470099486410617,1770651799.5809753,1357.09638248,9,STOP,Completed,18,0.0002038963060285,256,2,0.172185291298581,2.3356106491632984e-05,8214.04833886
81,1,0.122613824903965,1770651880.2523282,71.02446774599957,0,STOP,InProgress,19,0.000615629795025,64,5,0.2562658177901183,8.615257811311483e-05,8294.140746423
82,1,0.1007160171866417,1770651948.794642,59.78685792000033,0,CONTINUE,InProgress,20,0.0071192039441647,32,3,0.1097229852938107,4.261999288972346e-05,8364.224029635
83,2,0.1004543006420135,1770652002.6889088,113.6811241409996,1,CONTINUE,InProgress,20,0.0071192039441647,32,3,0.1097229852938107,4.261999288972346e-05,8419.322213158
84,3,0.0981054604053497,1770652055.992243,166.9844579769997,2,STOP,InProgress,20,0.0071192039441647,32,3,0.1097229852938107,4.261999288972346e-05,8469.461308082999
85,1,0.252843290567398,1770652135.195595,71.41388025500055,0,STOP,InProgress,21,0.0001430713631374,32,5,0.1002509181550364,9.36781957297914e-05,8549.586377824999
86,1,0.1195741221308708,1770652260.891278,116.7665448300013,0,STOP,InProgress,22,0.0037760155385097,128,5,0.2308567993518433,0.0008928587607203,8674.734224455002
87,1,0.1080675199627876,1770652341.7537136,71.50080349100062,0,CONTINUE,InProgress,23,0.0020289703437104,64,4,0.401155422808727,9.40673192687788e-05,8754.839621737
88,2,0.1011319532990455,1770652402.016286,131.76337607800087,1,CONTINUE,InProgress,23,0.0020289703437104,64,4,0.401155422808727,9.40673192687788e-05,8814.926101726
89,3,0.1203210949897766,1770652462.895234,192.6423242640012,2,STOP,InProgress,23,0.0020289703437104,64,4,0.401155422808727,9.40673192687788e-05,8875.01790399
90,1,0.0677722916007042,1770652822.6491835,352.6564884359996,0,CONTINUE,InProgress,24,0.0004572719550504,256,5,0.3759753939712186,0.0001424166157485,9235.384835973
